Date,Open,High,Low,Close,Adj Close,Volume
2001-04-05,113.300003,115.489998,112.500000,115.050003,78.410530,21522800
2001-04-06,113.989998,114.400002,112.059998,113.300003,77.217880,14937800
2001-04-09,114.000000,114.989998,112.779999,114.559998,78.076530,9034300
2001-04-10,115.449997,117.750000,115.169998,116.650002,79.500969,17873600
2001-04-11,118.779999,118.989998,116.139999,116.730003,79.555511,12722300
2001-04-12,116.300003,118.940002,115.959999,118.849998,81.000343,9233200
2001-04-16,118.290001,118.889999,116.910004,117.599998,80.148445,7350000
2001-04-17,117.309998,119.660004,117.019997,119.260002,81.279778,10924700
2001-04-18,121.059998,126.000000,120.690002,124.000000,84.510254,32481600
2001-04-19,124.250000,125.839996,123.580002,125.650002,85.634804,13809900
2001-04-20,124.900002,125.400002,123.660004,124.500000,84.851013,7626700
2001-04-23,123.650002,123.889999,121.910004,122.239998,83.310745,8451800
2001-04-24,122.519997,123.650002,121.099998,121.580002,82.860985,10044700
2001-04-25,121.419998,123.669998,120.949997,123.169998,83.944565,8249000
2001-04-26,123.730003,125.220001,123.500000,123.720001,84.319450,10590400
2001-04-27,124.919998,125.839996,124.199997,125.779999,85.723358,7938700
2001-04-30,126.449997,127.269997,124.669998,126.660004,86.323166,10766900
2001-05-01,125.070000,127.150002,124.599998,127.050003,86.588928,10578000
2001-05-02,127.410004,127.690002,126.000000,126.820000,86.432205,9572900
2001-05-03,126.129997,126.150002,124.220001,125.209999,85.334885,9926200
2001-05-04,123.650002,127.349998,123.440002,127.339996,86.786575,12145300
2001-05-07,126.860001,127.379997,126.230003,126.239998,86.036896,7185200
2001-05-08,126.860001,127.099998,125.559998,126.180000,85.996002,6952600
2001-05-09,125.250000,126.550003,125.059998,125.650002,85.634804,9507400
2001-05-10,127.260002,127.500000,125.769997,126.019997,85.886955,6872400
2001-05-11,126.000000,126.489998,124.400002,125.150002,85.294022,7734400
2001-05-14,124.900002,125.440002,124.459999,125.400002,85.464409,7914000
2001-05-15,125.550003,126.500000,124.849998,125.980003,85.859695,9782200
2001-05-16,124.839996,129.199997,124.620003,128.949997,87.883865,14909000
2001-05-17,129.000000,130.080002,128.559998,129.149994,88.020157,11824600
2001-05-18,129.089996,129.740005,128.100006,129.740005,88.422287,6683100
2001-05-21,129.839996,131.839996,129.149994,131.649994,89.724030,11531500
2001-05-22,131.830002,132.089996,131.070007,131.479996,89.608154,8342700
2001-05-23,131.050003,131.050003,129.250000,129.250000,88.088295,12330800
2001-05-24,129.470001,130.000000,128.550003,129.630005,88.347305,7902800
2001-05-25,129.649994,129.699997,127.900002,128.100006,87.304565,7425000
2001-05-29,128.220001,128.350006,126.900002,127.080002,86.609383,9003900
2001-05-30,126.589996,127.089996,125.000000,125.300003,85.396255,10041800
2001-05-31,125.430000,126.760002,125.260002,125.949997,85.839279,9874200
2001-06-01,126.199997,127.099998,125.120003,126.730003,86.370834,8848300
2001-06-04,126.800003,127.430000,126.080002,127.339996,86.786575,5623500
2001-06-05,127.489998,129.229996,127.269997,128.800003,87.781609,9115400
2001-06-06,128.830002,128.830002,127.360001,127.730003,87.052422,12064900
2001-06-07,127.050003,128.350006,127.000000,128.190002,87.365891,7355300
2001-06-08,127.699997,127.870003,126.139999,127.000000,86.554871,8170600
2001-06-11,126.709999,126.989998,125.410004,126.099998,85.941483,7012200
2001-06-12,124.860001,126.739998,124.040001,125.879997,85.791550,9364400
2001-06-13,126.169998,126.580002,124.650002,124.800003,85.055496,7629400
2001-06-14,124.180000,124.300003,121.750000,122.000000,83.147202,12603000
2001-06-15,120.910004,122.400002,120.400002,121.849998,83.281120,16821100
2001-06-18,121.650002,122.440002,120.910004,121.260002,82.877899,11368300
2001-06-19,122.379997,122.889999,120.889999,121.790001,83.240135,7732300
2001-06-20,121.190002,122.860001,121.099998,122.430000,83.677567,8787200
2001-06-21,122.220001,124.309998,122.150002,123.820000,84.627594,12259100
2001-06-22,123.489998,123.589996,122.160004,122.849998,83.964577,12212000
